condition,benchmark,model,paradigm,prompt_mode,file,questions,samples_per_question,mean_unique_normalized_answers,mean_duplicate_rate,mean_answer_entropy_bits,mean_valid_output_diversity,mean_correct_output_diversity,mean_parse_valid_rate,pass_at_1,pass_at_8,pass_at_max,pass_gain,early_gain,late_gain,pass_auc
gsm8k_base,gsm8k,LLaDA,dLLM,base_native,results/milestone2_gsm8k_base/GSAI-ML_LLaDA-8B-Base_256_256_32_1_0.7_4_128_128_generations_base_native_fast_dllm.json,128,128,16.2890625,0.003662109375,1.7287774454974785,16.2890625,2.984375,1.0,0.62847900390625,0.8799551054323468,0.984375,0.35589599609375,0.25147610152609606,0.10441989456765392,0.9419447311511114
gsm8k_base,gsm8k,Dream,dLLM,base_native,results/milestone2_gsm8k_base/Dream-org_Dream-v0-Base-7B_256_256_32_1_0.7_4_128_128_generations_base_native_fast_dllm.json,128,128,10.71875,0.00189208984375,1.2086972042561694,10.71875,1.625,0.9998779296875,0.7237548828125,0.923458768928704,0.9765625,0.2528076171875,0.19970388611620363,0.05310373107129641,0.9521391009288125
gsm8k_base,gsm8k,Qwen,AR,base_native,results/milestone2_gsm8k_base/Qwen_Qwen2.5-7B_256_1_0.7_4_128_128_generations_base_native_vllm.json,128,128,18.109375,6.103515625e-05,1.6693297394767095,18.109375,1.0,1.0,0.695068359375,0.9633253057368006,1.0,0.304931640625,0.26825694636180114,0.036674694263198984,0.9839224816382977
gsm8k_base,gsm8k,Llama,AR,base_native,results/milestone2_gsm8k_base/meta-llama_Llama-3.1-8B_256_1_0.7_4_128_128_generations_base_native_vllm.json,128,128,70.484375,0.0,5.507826617154234,70.484375,1.0,0.99969482421875,0.13592529296875,0.6212068120781823,1.0,0.86407470703125,0.4852815191094323,0.3787931879218178,0.9102523963811933
gsm8k_instruct,gsm8k,LLaDA,dLLM,instruct_templated,results/milestone2_gsm8k_instruct/GSAI-ML_LLaDA-8B-Instruct_256_256_8_1_0.7_4_128_128_generations_instruct_templated_fast_dllm.json,128,128,7.2734375,0.10162353515625,0.8784789038284261,7.2734375,0.9921875,1.0,0.75848388671875,0.9418068376238111,0.9921875,0.23370361328125,0.1833229509050611,0.050380662376189,0.9723637777687927
gsm8k_instruct,gsm8k,Dream,dLLM,instruct_templated,results/milestone2_gsm8k_instruct/Dream-org_Dream-v0-Instruct-7B_256_256_32_1_0.7_4_128_128_generations_instruct_templated_fast_dllm.json,128,128,7.4765625,0.35028076171875,0.8894795292504954,7.4765625,0.984375,0.99981689453125,0.76287841796875,0.9265051460970294,0.9765625,0.21368408203125,0.16362672812827894,0.05005735390297101,0.9571787316967107
gsm8k_instruct,gsm8k,Qwen,AR,instruct_templated,results/milestone2_gsm8k_instruct/Qwen_Qwen2.5-7B-Instruct_256_1_0.7_4_128_128_generations_instruct_templated_vllm.json,128,128,5.71875,0.00860595703125,0.75147373170884,5.71875,1.0,1.0,0.7974853515625,0.9444879606738303,1.0,0.2025146484375,0.14700260911133037,0.05551203932616962,0.9754937679459107
gsm8k_instruct,gsm8k,Llama,AR,instruct_templated,results/milestone2_gsm8k_instruct/meta-llama_Llama-3.1-8B-Instruct_256_1_0.7_4_128_128_generations_instruct_templated_vllm.json,128,128,8.546875,0.0126953125,1.016479120725092,8.546875,1.0,0.99993896484375,0.78326416015625,0.9768804484272666,1.0,0.21673583984375,0.1936162882710163,0.023119551572733675,0.9868013334841905
countdown_base,countdown,LLaDA,dLLM,base_native,results/milestone2_countdown_base_refresh/GSAI-ML_LLaDA-8B-Base_countdown_cd4_32_32_32_8_0.7_8_992_128_generations_base_native_fast_dllm.json,992,128,1.313508064516129,0.553986580141129,0.05429117114311074,1.313508064516129,0.2721774193548387,0.9999842489919355,0.14285376764112903,0.19980551664904453,0.2721774193548387,0.1293236517137097,0.05695174900791551,0.0723719027057941,0.2451875244673027
countdown_base,countdown,Dream,dLLM,base_native,results/milestone2_countdown_base_refresh/Dream-org_Dream-v0-Base-7B_countdown_cd4_32_32_32_8_0.7_8_992_128_generations_base_native_fast_dllm.json,992,128,1.4243951612903225,0.21952967489919356,0.057324851696399094,1.4243951612903225,0.37600806451612906,0.999968497983871,0.113037109375,0.24420719453270592,0.37600806451612906,0.26297095514112906,0.1311700851577061,0.13180086998342294,0.33143288355769684
