benchmark,condition,model,paradigm,prompt_mode,file,questions,samples_per_question,total_samples,parsed_samples,parse_failures,format_failures,validity_failures,correct_samples,alternate_correct_samples,parse_failure_rate,correct_rate_parsed,correct_rate_all
gsm8k,base_4shot_n128,LLaDA,dLLM,base_native,results/milestone2_gsm8k_base/GSAI-ML_LLaDA-8B-Base_256_256_32_1_0.7_4_128_128_generations_base_native_fast_dllm.json,128,128,16384,15721,0,663,5424,10297,10072,0.0,0.6549837796577825,0.62847900390625
gsm8k,base_4shot_n128,Dream,dLLM,base_native,results/milestone2_gsm8k_base/Dream-org_Dream-v0-Base-7B_256_256_32_1_0.7_4_128_128_generations_base_native_fast_dllm.json,128,128,16384,15977,2,405,4119,11858,11796,0.0001220703125,0.7421919008574827,0.7237548828125
gsm8k,base_4shot_n128,Qwen,AR,base_native,results/milestone2_gsm8k_base/Qwen_Qwen2.5-7B_256_1_0.7_4_128_128_generations_base_native_vllm.json,128,128,16384,14973,0,1411,3585,11388,11617,0.0,0.7605690242436386,0.695068359375
gsm8k,base_4shot_n128,Llama,AR,base_native,results/milestone2_gsm8k_base/meta-llama_Llama-3.1-8B_256_1_0.7_4_128_128_generations_base_native_vllm.json,128,128,16384,14451,5,1928,12224,2227,2309,0.00030517578125,0.1541069822157636,0.13592529296875
gsm8k,instruct_0shot_n16,LLaDA,dLLM,instruct_templated,results/milestone2_gsm8k_instruct_0shot/GSAI-ML_LLaDA-8B-Instruct_256_256_8_1_0.7_0_256_16_generations_instruct_templated_fast_dllm.json,256,16,4096,3767,0,329,669,3098,3298,0.0,0.8224050968940801,0.75634765625
gsm8k,instruct_0shot_n16,Dream,dLLM,instruct_templated,results/milestone2_gsm8k_instruct_0shot/Dream-org_Dream-v0-Instruct-7B_256_256_32_1_0.7_0_256_16_generations_instruct_templated_fast_dllm.json,256,16,4096,3779,15,302,701,3078,3226,0.003662109375,0.8145011907912146,0.75146484375
gsm8k,instruct_0shot_n16,Qwen,AR,instruct_templated,results/milestone2_gsm8k_instruct_0shot/Qwen_Qwen2.5-7B-Instruct_256_1_0.7_0_256_16_generations_instruct_templated_vllm.json,256,16,4096,2935,0,1161,749,2186,2505,0.0,0.7448040885860306,0.53369140625
gsm8k,instruct_0shot_n16,Llama,AR,instruct_templated,results/milestone2_gsm8k_instruct_0shot/meta-llama_Llama-3.1-8B-Instruct_256_1_0.7_0_256_16_generations_instruct_templated_vllm.json,256,16,4096,2220,0,1876,195,2025,2694,0.0,0.9121621621621622,0.494384765625
gsm8k,instruct_4shot_n16,LLaDA,dLLM,instruct_templated,results/milestone2_gsm8k_instruct_4shot/GSAI-ML_LLaDA-8B-Instruct_256_256_8_1_0.7_4_256_16_generations_instruct_templated_fast_dllm.json,256,16,4096,3903,0,193,705,3198,3333,0.0,0.819369715603382,0.78076171875
gsm8k,instruct_4shot_n16,Dream,dLLM,instruct_templated,results/milestone2_gsm8k_instruct_4shot/Dream-org_Dream-v0-Instruct-7B_256_256_32_1_0.7_4_256_16_generations_instruct_templated_fast_dllm.json,256,16,4096,4044,1,51,903,3141,3155,0.000244140625,0.776706231454006,0.766845703125
gsm8k,instruct_4shot_n16,Qwen,AR,instruct_templated,results/milestone2_gsm8k_instruct_4shot/Qwen_Qwen2.5-7B-Instruct_256_1_0.7_4_256_16_generations_instruct_templated_vllm.json,256,16,4096,3455,0,641,225,3230,3383,0.0,0.934876989869754,0.78857421875
gsm8k,instruct_4shot_n16,Llama,AR,instruct_templated,results/milestone2_gsm8k_instruct_4shot/meta-llama_Llama-3.1-8B-Instruct_256_1_0.7_4_256_16_generations_instruct_templated_vllm.json,256,16,4096,4009,0,87,802,3207,3222,0.0,0.7999501122474433,0.782958984375
gsm8k,instruct_templated_n128,LLaDA,dLLM,instruct_templated,results/milestone2_gsm8k_instruct/GSAI-ML_LLaDA-8B-Instruct_256_256_8_1_0.7_4_128_128_generations_instruct_templated_fast_dllm.json,128,128,16384,15535,0,849,3108,12427,12958,0.0,0.7999356292243321,0.75848388671875
gsm8k,instruct_templated_n128,Dream,dLLM,instruct_templated,results/milestone2_gsm8k_instruct/Dream-org_Dream-v0-Instruct-7B_256_256_32_1_0.7_4_128_128_generations_instruct_templated_fast_dllm.json,128,128,16384,16127,3,254,3628,12499,12553,0.00018310546875,0.775035654492466,0.76287841796875
gsm8k,instruct_templated_n128,Qwen,AR,instruct_templated,results/milestone2_gsm8k_instruct/Qwen_Qwen2.5-7B-Instruct_256_1_0.7_4_128_128_generations_instruct_templated_vllm.json,128,128,16384,13747,0,2637,681,13066,13727,0.0,0.9504619189641377,0.7974853515625
gsm8k,instruct_templated_n128,Llama,AR,instruct_templated,results/milestone2_gsm8k_instruct/meta-llama_Llama-3.1-8B-Instruct_256_1_0.7_4_128_128_generations_instruct_templated_vllm.json,128,128,16384,16009,1,374,3176,12833,12937,6.103515625e-05,0.8016115934786683,0.78326416015625
gsm8k,instruct_flat_n128,LLaDA,dLLM,instruct_flat,results/milestone2_gsm8k_instruct/GSAI-ML_LLaDA-8B-Instruct_256_256_8_1_0.7_4_128_128_generations_instruct_flat_fast_dllm.json,128,128,16384,15935,0,449,3337,12598,12756,0.0,0.7905867587072481,0.7689208984375
