benchmark,condition,model,paradigm,prompt_mode,file,questions,samples_per_question,total_samples,parsed_samples,parse_failures,format_failures,validity_failures,correct_samples,alternate_correct_samples,parse_failure_rate,correct_rate_parsed,correct_rate_all,canonical_false_alternate_true,alternate_false_canonical_true,category::correct,category::division by zero,category::invalid operator,category::invalid syntax,category::malformed equation chain,category::parse failure,category::wrong number use
countdown,base_refresh,LLaDA,dLLM,base_native,results/milestone2_countdown_base_refresh/GSAI-ML_LLaDA-8B-Base_countdown_cd4_32_32_32_8_0.7_8_992_128_generations_base_native_fast_dllm.json,992,128,126976,126958,1,823,108013,18139,0,7.875504032258064e-06,0.14287402132988863,0.14285376764112903,0,18139,18139,47,2,2,819,1,107966
countdown,base_refresh,Dream,dLLM,base_native,results/milestone2_countdown_base_refresh/Dream-org_Dream-v0-Base-7B_countdown_cd4_32_32_32_8_0.7_8_992_128_generations_base_native_fast_dllm.json,992,128,126976,126952,0,1028,111595,14353,0,0.0,0.11305847879513517,0.113037109375,0,14353,14353,2,1,31,996,,111593
countdown,base_refresh,Qwen,AR,base_native,results/milestone2_countdown_base_refresh/Qwen_Qwen2.5-7B_countdown_cd4_32_8_0.7_8_992_128_generations_base_native_vllm.json,992,128,126976,126976,0,33005,88837,5134,0,0.0,0.040432837701612906,0.040432837701612906,0,5134,5134,37,37,,32968,,88800
countdown,base_refresh,Llama,AR,base_native,results/milestone2_countdown_base_refresh/meta-llama_Llama-3.1-8B_countdown_cd4_32_8_0.7_8_992_128_generations_base_native_vllm.json,992,128,126976,126974,0,44593,78954,3429,0,0.0,0.027005528690913102,0.027005103326612902,0,3429,3429,28,9,,44584,,78926
countdown,instruct_refresh,LLaDA,dLLM,instruct_templated,results/milestone2_countdown_instruct_refresh/GSAI-ML_LLaDA-8B-Instruct_countdown_cd4_32_32_32_8_0.7_8_992_128_generations_instruct_templated_fast_dllm.json,992,128,126976,126638,106,1408,122403,3059,0,0.0008348034274193549,0.024155466763530694,0.024091166834677418,0,3059,3059,,43,21,1344,106,122403
countdown,instruct_refresh,Dream,dLLM,instruct_templated,results/milestone2_countdown_instruct_refresh/Dream-org_Dream-v0-Instruct-7B_countdown_cd4_32_32_32_8_0.7_8_992_128_generations_instruct_templated_fast_dllm.json,992,128,126976,126883,5,5485,109870,11616,0,3.937752016129032e-05,0.09154890726102,0.09148185483870967,0,11616,11616,9,78,34,5373,5,109861
countdown,instruct_refresh,Qwen,AR,instruct_templated,results/milestone2_countdown_instruct_refresh/Qwen_Qwen2.5-7B-Instruct_countdown_cd4_32_8_0.7_8_992_128_generations_instruct_templated_vllm.json,992,128,126976,126976,0,3038,113985,9953,0,0.0,0.07838489163306452,0.07838489163306452,0,9953,9953,,74,,2964,,113985
countdown,instruct_refresh,Llama,AR,instruct_templated,results/milestone2_countdown_instruct_refresh/meta-llama_Llama-3.1-8B-Instruct_countdown_cd4_32_8_0.7_8_992_128_generations_instruct_templated_vllm.json,992,128,126976,126946,5,43175,76463,7333,0,3.937752016129032e-05,0.05776471885683677,0.05775107106854839,0,7333,7333,,591,,42584,5,76463
countdown,prompt_diag,LLaDA,dLLM,instruct_templated,results/GSAI-ML_LLaDA-8B-Instruct_countdown_cd4_32_32_32_8_0.7_8_512_128_generations_instruct_templated_fast_dllm.json,512,128,65536,65480,2,759,63679,1096,0,3.0517578125e-05,0.016737935247403787,0.0167236328125,0,1096,1096,1,13,8,738,2,63678
countdown,prompt_diag,LLaDA,dLLM,instruct_flat,results/GSAI-ML_LLaDA-8B-Instruct_countdown_cd4_32_32_32_8_0.7_8_512_128_generations_instruct_flat_fast_dllm.json,512,128,65536,64543,845,139,63434,1118,0,0.0128936767578125,0.017321785476349102,0.017059326171875,0,1118,1118,2,1,7,131,845,63432
countdown,prompt_diag,Dream,dLLM,instruct_templated,results/Dream-org_Dream-v0-Instruct-7B_countdown_cd4_32_32_32_8_0.7_8_512_128_generations_instruct_templated_fast_dllm.json,512,128,65536,65484,8,2490,58009,5029,0,0.0001220703125,0.07679738562091504,0.0767364501953125,0,5029,5029,2,23,12,2455,8,58007
