benchmark,condition,model,paradigm,prompt_mode,file,questions,samples_per_question,total_samples,parsed_samples,parse_failures,format_failures,validity_failures,correct_samples,alternate_correct_samples,parse_failure_rate,correct_rate_parsed,correct_rate_all,canonical_false_alternate_true,alternate_false_canonical_true,category::city sequence mismatch,category::correct,category::duration mismatch,category::exact-match failure,category::missing or malformed flight lines,category::missing total-day line,category::missing or malformed day ranges,category::empty parsed plan
trip_planning,base_main,LLaDA,dLLM,base_native,results/milestone2_trip_planning_llada_passk/GSAI-ML_LLaDA-8B-Base_trip_planning_256_256_32_1_0.7_2_200_64_generations_base_native_fast_dllm.json,200,64,12800,12799,563,0,11776,463,463,0.043984375,0.03617470114852723,0.036171875,0,0,4512,461,1476,5788,1,562,,
trip_planning,base_main,Dream,dLLM,base_native,results/Dream-org_Dream-v0-Base-7B_trip_planning_256_256_32_1_0.7_2_200_64_generations_fast_dllm.json,200,64,12800,10562,6027,0,6407,696,696,0.470859375,0.06589661049043742,0.054375,0,0,3559,366,475,2373,92,4795,1140,
trip_planning,base_main,Qwen,AR,base_native,results/Qwen_Qwen2.5-7B_trip_planning_256_1_0.7_2_200_64_generations_vllm.json,200,64,12800,11363,2678,0,9956,190,190,0.20921875,0.016720936372436858,0.01484375,0,0,4085,166,1195,4676,17,2615,46,
trip_planning,base_main,Llama,AR,base_native,results/milestone2_trip_planning_llama_passk/meta-llama_Llama-3.1-8B_trip_planning_256_1_0.7_2_200_64_generations_base_native_vllm.json,200,64,12800,5406,7395,0,5091,314,314,0.577734375,0.05808361080281169,0.02453125,0,0,2688,314,1008,1395,2,7374,19,
trip_planning,instruct_main,LLaDA,dLLM,instruct_templated,results/milestone2_trip_planning_llada_passk/GSAI-ML_LLaDA-8B-Instruct_trip_planning_256_256_16_1_0.7_2_200_64_generations_instruct_templated_fast_dllm.json,200,64,12800,12800,0,0,12672,128,128,0.0,0.01,0.01,0,0,3759,128,2640,6273,,,,
trip_planning,instruct_main,Dream,dLLM,instruct_templated,results/Dream-org_Dream-v0-Instruct-7B_trip_planning_256_256_32_1_0.7_2_200_64_generations_fast_dllm.json,200,64,12800,12692,120,0,11956,724,724,0.009375,0.057043807122596914,0.0565625,0,0,5736,724,1079,5141,46,12,51,11
trip_planning,instruct_main,Qwen,AR,instruct_templated,results/Qwen_Qwen2.5-7B-Instruct_trip_planning_256_1_0.7_2_200_64_generations_vllm.json,200,64,12800,12800,0,0,12589,211,211,0.0,0.016484375,0.016484375,0,0,3411,211,1224,7954,,,,
trip_planning,instruct_main,Llama,AR,instruct_templated,results/milestone2_trip_planning_llama_passk/meta-llama_Llama-3.1-8B-Instruct_trip_planning_256_1_0.7_2_200_64_generations_instruct_templated_vllm.json,200,64,12800,8046,8704,0,3957,219,219,0.68,0.027218493661446682,0.017109375,0,0,1184,139,355,2418,519,7554,600,31
trip_planning,instruct_flat,LLaDA,dLLM,instruct_flat,results/milestone2_trip_planning_llada_passk/GSAI-ML_LLaDA-8B-Instruct_trip_planning_256_256_16_1_0.7_2_200_64_generations_instruct_flat_fast_dllm.json,200,64,12800,12800,67,0,12578,155,155,0.005234375,0.012109375,0.012109375,0,0,4043,155,2516,6019,,67,,
trip_planning,instruct_flat,Llama,AR,instruct_flat,results/milestone2_trip_planning_llama_passk/meta-llama_Llama-3.1-8B-Instruct_trip_planning_256_1_0.7_2_200_64_generations_instruct_flat_vllm.json,200,64,12800,12270,645,0,11391,767,767,0.050390625,0.06251018744906275,0.059921875,0,0,5990,764,1421,3980,2,550,93,
